,id,Star_name,Radius,Mass,Distance
174,174,2MASS J21481628+4003593,0.10173536999999999,0.05250234,26.3
176,176,2MASSW J2206450-421721,0.13667479,0.021000936,93.0
177,177,2MASSW J2208136+292121,0.14489582999999998,0.025773876,154.0
178,178,2MASSW J2224438-015852,0.10173536999999999,0.058229868000000004,38.0
179,179,2MASS J22282889-4310262,0.09659721999999998,0.040092696000000004,35.0
180,180,2MASS J22373255+3922398,0.10687352,0.069684924,64.0
181,181,2MASSW J2244316+204343,0.13256426999999998,0.011455056,56.0
182,182,2MASS J23224684-3133231,0.14284056999999997,0.022910112,56.0
183,183,2MASS J23225299-6151275,0.16339317,0.016227996,148.0
184,184,2MASS J23515044-2537367,0.11920507999999998,0.084003744,67.0
185,185,2MASSI J2356547-155310,0.11201167000000001,0.07636704,74.0
223,223,WISE 0410+1502,0.12023270999999998,0.005727528,20.0
227,227,WISE 0458+6434A,0.4316046,0.014318820000000001,35.9
228,228,WISE 0458+6434B,0.39049939999999994,0.00954588,35.9
282,282,WISE 1405+5534,0.08837618,0.028637640000000002,25.3
